file1 file2 simple eppstein hanke 
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_11_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_12_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_1_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_2_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_3_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_4_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_5_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_6_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_7_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_8_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_12_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_9_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_3_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_4_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_5_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_6_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_7_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_8_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_9_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_10_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_11_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_12_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_1_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_2_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_3_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_4_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_5_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_6_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_7_2.csv 12 12 12
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_8_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_9_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2006_12_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2006_1_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2006_2_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_10_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_11_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_12_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_1_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_2_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_3_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_4_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_5_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_6_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_7_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_8_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_9_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_10_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_11_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_12_2.csv 12 12 12
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_1_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_2_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_3_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_4_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_5_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_6_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_7_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_8_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_9_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_10_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_11_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_12_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_1_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_2_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_3_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_4_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_5_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_6_2.csv 4 4 4
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_7_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_8_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_1_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_9_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_3_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_4_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_5_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_6_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_7_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_8_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_9_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_10_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_11_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_12_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_1_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_2_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_3_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_4_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_5_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_6_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_7_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_8_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2005_9_2.csv 3 3 3
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2006_12_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2006_1_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2006_2_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_10_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_11_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_12_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_1_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_2_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_3_2.csv 13 13 13
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_4_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_5_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_6_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_7_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_8_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2007_9_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_10_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_11_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_12_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_1_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_2_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_3_2.csv 12 12 12
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_4_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_5_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_6_2.csv 5 5 5
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_7_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_8_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2008_9_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_10_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_11_2.csv 8 8 8
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_12_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_1_2.csv 6 6 6
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_2_2.csv 11 11 11
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_3_2.csv 12 12 12
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_4_2.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_5_2.csv 9 9 9
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_6_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_7_2.csv 7 7 7
../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2004_2_2.csv ../data/sealevel_experiments_paper/s_25/s_25_2/triangulation/t_2009_8_2.csv 6 6 6
